worker,total_paid_minutes,total_hours,days_off,weekend_minutes,saturday_minutes,sunday_minutes,holiday_minutes,sundays_worked,full_weekends_off,total_excess_40h,shift_M,shift_I,shift_T,shift_MW,shift_IW,shift_TW,shift_MS,shift_IS,shift_TS,shift_NS,shift_MSW,shift_ISW,shift_TSW,shift_NSW,shift_FSW
A,9780,163.0,8,1200,600,600,0,2,1,0,3,4,5,4,0,0,1,2,1,0,0,0,0,0,0
B,9420,157.0,9,1380,600,780,0,2,2,0,2,2,8,2,0,0,1,1,1,0,1,1,0,0,0
C,9780,163.0,8,1200,600,600,0,2,1,0,3,4,5,0,0,4,2,1,1,0,0,0,0,0,0
D,9900,165.0,8,1380,780,600,0,2,2,0,5,1,6,0,0,2,1,1,2,0,1,1,0,0,0
E,10050,167.5,9,1020,510,510,0,1,3,150,2,4,6,0,0,0,0,0,0,5,0,0,0,2,0
F,600,10.0,26,600,300,300,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
